Country,Country Code,Year,Male-Female ratio,Total suicide rate
Bosnia and Herzegovina,BIH,1991,5.929029181000001,11.34873
Bosnia and Herzegovina,BIH,2004,3.019754723,11.8367157
Botswana,BWA,2004,1.4677576140000002,11.21397018
Brazil,BRA,1990,3.13894395,3.817847
Brazil,BRA,1989,3.4182129060000004,3.6276269999999995
Brazil,BRA,1988,3.1235581519999998,3.7436769999999995
Brazil,BRA,1987,3.2310796280000003,4.0323709999999995
Brazil,BRA,1982,2.95497813,3.825186
Brazil,BRA,1985,3.2196143669999997,3.875458
Brazil,BRA,1984,3.095258121,4.103057
Brazil,BRA,1983,2.8272193189999997,4.306122
Brazil,BRA,1986,3.0422691060000004,3.839376
Brazil,BRA,1991,3.5459669289999995,4.002315
Brazil,BRA,1995,3.9731833180000002,4.613017
Brazil,BRA,1992,3.759858608,3.943459
Brazil,BRA,1994,3.898599453,4.163130000000001
Brazil,BRA,1993,3.933903935,3.9871510000000003
Brazil,BRA,2002,3.857759132,4.564687999999999
Brazil,BRA,2001,4.337808469,4.689151
Brazil,BRA,2000,4.29110706,4.235338
Brazil,BRA,2003,4.252936143,4.541708
Brazil,BRA,1998,4.17527773,4.570698999999999
Brazil,BRA,1997,4.212573887,4.6487739999999995
Brazil,BRA,1996,4.09233042,4.5935440000000005
Brazil,BRA,2004,4.0127244630000005,4.544517
Brazil,BRA,1999,4.6832876169999995,4.156154
Brunei,BRN,2004,6.1690036589999995,1.3700015540000001
Bulgaria,BGR,1983,3.0049901439999998,11.191989999999999
Bulgaria,BGR,1964,2.490889566,8.495569
Bulgaria,BGR,1966,2.47231548,9.524807000000001
Bulgaria,BGR,1967,2.637892521,9.771757000000001
Bulgaria,BGR,1968,2.1256537630000003,9.300858999999999
Bulgaria,BGR,1969,2.1766624759999997,10.71659
Bulgaria,BGR,1970,2.28045348,11.03628
Bulgaria,BGR,1972,2.4722658369999997,10.35056
Bulgaria,BGR,1978,2.576478585,11.878680000000001
Bulgaria,BGR,1974,2.550351144,11.29529
Bulgaria,BGR,1975,2.601973121,11.479460000000001
Bulgaria,BGR,1976,2.60196802,12.37924
Bulgaria,BGR,1977,2.75143171,12.56126
Bulgaria,BGR,1982,2.661067191,13.220189999999999
Bulgaria,BGR,1979,2.408347702,12.448030000000001
Bulgaria,BGR,1981,2.57261052,11.7393
Bulgaria,BGR,1980,2.423124802,11.81065
Bulgaria,BGR,1973,2.5373612430000003,10.41801
Bulgaria,BGR,1965,2.0056458409999998,8.836132000000001
Bulgaria,BGR,1993,2.752001095,14.11095
Bulgaria,BGR,1971,2.571763102,11.23274
Bulgaria,BGR,1995,2.9398157119999997,13.50905
Bulgaria,BGR,1984,2.7839296680000003,14.27714
Bulgaria,BGR,1986,2.62658298,13.316170000000001
Bulgaria,BGR,1988,2.7145047780000002,13.470920000000001
Bulgaria,BGR,1989,2.8665168160000003,13.495379999999999
Bulgaria,BGR,1990,2.7161138869999997,12.25013
Bulgaria,BGR,1991,3.210081099,12.60847
Bulgaria,BGR,1992,3.2146552919999998,14.42051
